order,avg length,B_time,BPlus_time,BStar_time
2516,168877,6,5,6
2517,168877,6,5,6
2518,168877,6,5,6
2519,168877,6,5,6
2520,168877,6,5,6
2521,168877,6,5,6
2522,168877,6,5,6
2523,168877,6,5,6
2524,168877,6,5,6
2525,168877,6,5,6
2526,168877,6,5,5
2527,168877,6,5,6
2528,168877,6,5,6
2529,168877,6,5,6
2530,168877,6,5,6
2531,168877,6,5,6
2532,168877,6,5,6
2533,168877,6,5,6
2534,168877,6,5,6
2535,168877,6,5,6
2536,168877,6,5,6
2537,168877,6,5,5
2538,168877,6,5,6
2539,168877,6,5,6
2540,168877,6,5,6
2541,168877,6,5,6
2542,168877,6,5,6
2543,168877,6,5,6
2544,168877,6,5,6
2545,168877,6,5,6
2546,168877,6,5,6
2547,168877,6,5,6
2548,168877,6,5,6
2549,168877,6,5,6
2550,168877,5,5,6
2551,168877,6,5,6
2552,168877,6,5,6
2553,168877,6,5,6
2554,168877,6,5,6
2555,168877,6,5,6
2556,168877,6,5,6
2557,168877,6,5,5
2558,168877,6,5,6
2559,168877,6,5,6
2560,168877,6,5,6
2561,168877,6,5,6
2562,168877,6,5,6
2563,168877,6,5,6
2564,168877,6,5,6
2565,168877,6,5,6
2566,168877,6,5,6
2567,168877,6,5,5
2568,168877,6,5,6
2569,168877,6,5,6
2570,168877,6,5,6
2571,168877,6,5,6
2572,168877,6,5,5
2573,168877,6,5,6
2574,168877,6,5,6
2575,168877,6,5,6
2576,168877,6,5,6
2577,168877,6,5,5
2578,168877,6,5,6
2579,168877,6,5,6
2580,168877,6,5,6
2581,168877,6,5,6
2582,168877,6,5,6
2583,168877,6,5,6
2584,168877,6,5,6
2585,168877,6,5,6
2586,168877,6,5,6
2587,168877,6,5,5
2588,168877,6,5,5
2589,168877,6,5,6
2590,168877,6,5,6
2591,168877,6,5,6
2592,168877,6,5,6
2593,168877,6,5,5
2594,168877,6,5,6
2595,168877,6,5,6
2596,168877,6,5,6
2597,168877,6,5,6
2598,168877,6,5,6
2599,168877,5,5,6
2600,168877,6,5,6
2601,168877,6,5,5
2602,168877,6,5,5
2603,168877,6,5,6
2604,168877,6,5,6
2605,168877,5,5,6
2606,168877,5,5,6
2607,168877,6,5,6
2608,168877,6,5,6
2609,168877,6,5,6
2610,168877,6,5,6
2611,168877,6,5,6
2612,168877,6,5,6
2613,168877,6,5,6
2614,168877,6,5,6
2615,168877,6,5,6
2616,168877,6,5,6
2617,168877,6,5,6
2618,168877,6,5,6
2619,168877,6,5,6
2620,168877,6,5,6
2621,168877,6,5,6
2622,168877,6,5,5
2623,168877,6,5,5
2624,168877,6,5,6
2625,168877,5,5,6
2626,168877,6,5,6
2627,168877,5,5,6
2628,168877,6,5,6
2629,168877,6,5,6
2630,168877,6,5,6
2631,168877,6,5,6
2632,168877,6,5,6
2633,168877,6,5,5
2634,168877,6,5,6
2635,168877,6,5,6
2636,168877,6,5,6
2637,168877,6,5,5
2638,168877,6,5,6
2639,168877,6,5,6
2640,168877,6,5,6
2641,168877,6,5,6
2642,168877,6,5,5
2643,168877,6,5,6
2644,168877,5,5,6
